   100000000.00000000       5.02550663486991955E-003  9.35300056215115222E-003
   117489755.57457723       4.20189601429631771E-003  8.48435429112659109E-003
   138038426.64973900       3.50934203502196269E-003  7.69417759355911848E-003
   162181010.06977043       2.92761103501642085E-003  6.97553033256837016E-003
   190546072.31935373       2.44003587484460920E-003  6.32282022887879769E-003
   223872114.62496588       2.03156781719531724E-003  5.72978998198307721E-003
   263026800.27250975       1.69002590447527956E-003  5.19157700645143851E-003
   309029544.73580313       1.40466778404117450E-003  4.70311710441122591E-003
   363078056.76332384       1.16664078947975440E-003  4.26020369680724532E-003
   426579521.43615395       9.68202445067057357E-004  3.85851904453228881E-003
   501187237.06653851       8.02934195601562447E-004  3.49432927966606419E-003
   588843659.80045307       6.65518402514897532E-004  3.16446081347908923E-003
   691830976.61594737       5.51231634437359969E-004  2.86540893467464915E-003
   812830523.41528702       4.56362277232888588E-004  2.59464288177697162E-003
   954992595.19617736       3.77572232935821791E-004  2.34921833282657894E-003
   1122018465.8513005       3.12246824609986107E-004  2.12700780272650483E-003
   1318256753.0303142       2.58105501101109130E-004  1.92578399972346583E-003
   1548816636.9806743       2.13253296773821934E-004  1.74354888472021824E-003
   1819700881.0869813       1.76109493267966814E-004  1.57848170023629263E-003
   2137962117.3775225       1.45389405673948237E-004  1.42908782501962152E-003
   2511886465.9839072       1.19980619210601684E-004  1.29381052091661502E-003
   2951209269.1953783       9.89604518042986188E-005  1.17123062694344301E-003
   3467368556.8719168       8.15944588684966584E-005  1.06025476345561541E-003
   4073802842.3385606       6.72517708330170829E-005  9.59773118233643390E-004
   4786301002.0537548       5.54071692373098756E-005  8.68763409714735273E-004
   5623413348.3764963       4.56331886517462920E-005  7.86363253162012505E-004
   6606934597.9556942       3.75673482141049991E-005  7.11723570933166781E-004
   7762471310.1103220       3.09153284504643747E-005  6.44128848159530669E-004
   9120108568.7952995       2.54302172558958522E-005  5.82900088249234437E-004
   10715193265.613670       2.09095252555243364E-005  5.27442915605088420E-004
   12589254377.113062       1.71853355254015390E-005  4.77216280157609493E-004
   14791084196.331900       1.41184554456245357E-005  4.31726658635496301E-004
   17378008669.100269       1.15939944972182653E-005  3.90530320937345753E-004
   20417379909.054749       9.51677549494126486E-006  3.53222008592734258E-004
   23988329749.881260       7.80794228681131410E-006  3.19429650736228988E-004
   28183829989.559086       6.40436644421794060E-006  2.88859972710902202E-004
   33113112966.287361       5.24877153402127907E-006  2.61128919388488637E-004
   38904515487.224663       4.30089336431481318E-006  2.36057100315180824E-004
   45708820153.413795       3.52201111433712863E-006  2.13342013017037336E-004
   53703181074.268959       2.88281896107820636E-006  1.92780685657284239E-004
   63095736179.931221       2.35855870097302345E-006  1.74173059839723387E-004
   74131026215.781281       1.92867761805268394E-006  1.57332213479845852E-004
