   100000000.00000000       2.48453849982297032E-008
   117489755.57457723       2.01428057712364136E-008
   138038426.64973900       1.63246472787710389E-008
   162181010.06977043       1.32258856340534496E-008
   190546072.31935373       1.07118109625503022E-008
   223872114.62496588       8.67322730382188443E-009
   263026800.27250975       7.02024819430979466E-009
   309029544.73580313       5.68093900617809714E-009
   363078056.76332384       4.59591171326724851E-009
   426579521.43615395       3.71811705527901194E-009
   501187237.06653851       3.00592879845695351E-009
   588843659.80045307       2.43008289558652867E-009
   691830976.61594737       1.96412808611629427E-009
   812830523.41528702       1.58734672725597040E-009
   954992595.19617736       1.28256637735561055E-009
   1122018465.8513005       1.03612884438432672E-009
   1318256753.0303142       8.36921498244166982E-010
   1548816636.9806743       6.75925556565582423E-010
   1819700881.0869813       5.45798820697513365E-010
   2137962117.3775225       4.40689292495789400E-010
   2511886465.9839072       3.55767618809467791E-010
   2951209269.1953783       2.87155715099805243E-010
   3467368556.8719168       2.31812621662057274E-010
   4073802842.3385606       1.87085614134215003E-010
   4786301002.0537548       1.50978782429894152E-010
   5623413348.3764963       1.21857896726601583E-010
   6606934597.9556942       9.83053703190745528E-011
   7762471310.1103220       7.93170739263897091E-011
   9120108568.7952995       6.39928959049746494E-011
   10715193265.613670       5.16256987329946082E-011
   12589254377.113062       4.16473101227276737E-011
   14791084196.331900       3.35955206267568030E-011
   17378008669.100269       2.70998938208675072E-011
   20417379909.054749       2.18599031379303039E-011
   23988329749.881260       1.76319864884609414E-011
   28183829989.559086       1.42215928790346007E-011
   33113112966.287361       1.14704251242071935E-011
   38904515487.224663       9.25127034391425636E-012
   45708820153.413795       7.46148251447052362E-012
   53703181074.268959       6.01791324295488133E-012
   63095736179.931221       4.77538221016027022E-012
   74131026215.781281       3.91418837174062180E-012
   87096361505.847183       3.15660725022518361E-012
   102329302247.57002       2.54584884086571010E-012
   120226447091.84038       2.05316121342587400E-012
   141253758824.20166       1.65582294166256306E-012
   165958695982.45737       1.33535475345950790E-012
   194984466264.54486       1.07693689450418604E-012
   229086772822.60773       8.69315737451153873E-013
   269153489442.96884       7.00412649002603405E-013
   316227776866.98962       5.64911486618118246E-013
   371535242099.94556       4.55603458104223160E-013
   436515847816.63977       3.67362438774788929E-013
   512861402644.06354       2.96271368089422561E-013
   602559608402.85864       2.38930481675981201E-013
   707945811103.64819       1.92679683933390099E-013
   831763803066.13452       1.55394719578352297E-013
   977237259180.20923       1.25315428765399556E-013
   1148153667194.5256       1.01052201250686601E-013
   1348962937207.3931       8.14962997955340346E-014
   1584893257716.6038       6.57216433915464629E-014
   1862087214609.1919       5.29986191469820823E-014
   2187761717029.7930       4.27372025041776100E-014
   2570395893892.4775       3.44637269288928449E-014
   3019951853033.2412       2.77905441612946065E-014
   3548134050598.6704       2.24087704695575577E-014
   4168694023506.7241       1.80580764596592026E-014
   4897788418870.0596       1.45698547081534255E-014
   5754399641890.3828       1.17503968321389900E-014
   6760830074041.3584       9.47198433099302654E-015
   7943282728803.7002       7.63532661985563370E-015
   9332543462669.0742       6.15772019420969012E-015
   10964782503181.082       4.96493150356682484E-015
   12882496162271.463       4.00333334084949956E-015
   15135613252957.033       3.22819871735605784E-015
   17782795015612.535       2.60325663323900513E-015
   20892962398171.270       2.09886975376672619E-015
   24547090453899.754       1.69337677831054975E-015
   28840316574957.199       1.36585874056960126E-015
   33884417450851.496       1.10189567892692396E-015
   39810719240874.813       8.89010638836772833E-016
   46773516728585.000       7.17236996779731678E-016
   54954090478048.508       5.78717020702405703E-016
   64565426580891.211       4.66831812110574282E-016
   75857761875572.188       3.76533548130642356E-016
   89125099011954.594       3.03740331443422897E-016
   104712860984745.41       2.44982045567464297E-016
   123026884426124.20       1.97508409263468670E-016
   144543985803270.94       1.59275468187820617E-016
   169824375618014.63       1.28519564326982550E-016
   199526243819657.31       1.03628176496872260E-016
   234422896170850.38       8.36056735108685328E-017
   275422887721977.06       6.74526307651857215E-017
   323593677580993.13       5.44119774919450407E-017
   380189420844694.31       4.38852491925091661E-017
   446683621270832.13       3.53891439090109335E-017
   524807494822770.88       2.85398659455282037E-017
   616595042904335.50       2.30234170911045473E-017
   724436008793263.38       1.84364473811180722E-017
   851138096025427.88       1.49856967927478578E-017
